BasketId,ItemId,SiteId,TimeStamp,Qtty,ClientId,IsActive,IDE
7131529,258471,7,2016-01-02 11:05:06.317,1.0,-103,1,1003
7131529,456119,7,2016-01-02 11:05:06.317,1.0,-103,1,4376
7131532,440641,23,2016-01-02 11:05:40.387,1.0,-103,1,5734
7131532,443622,23,2016-01-02 11:05:40.387,1.0,-103,1,1809
7131543,462105,25,2016-01-02 11:10:18.433,1.0,-103,1,619
7131543,464019,25,2016-01-02 11:10:18.433,1.0,-103,1,732
7131573,439550,7,2016-01-02 11:23:03.493,1.0,-103,1,2252
7131573,465369,7,2016-01-02 11:23:03.493,1.0,-103,1,13453
7131634,462304,30,2016-01-02 11:25:20.207,1.0,-103,1,5655
7131634,466968,30,2016-01-02 11:25:20.207,1.0,-103,1,21
7131579,214161,7,2016-01-02 11:25:38.347,1.0,-103,1,2869
7131579,438857,7,2016-01-02 11:25:38.347,1.0,-103,1,1797
7131583,389596,9,2016-01-02 11:27:39.250,1.0,-103,1,5184
7131583,440256,9,2016-01-02 11:27:39.250,1.0,-103,1,2000
7131588,165328,27,2016-01-02 11:29:52.907,1.0,-103,1,1177
7131588,212932,27,2016-01-02 11:29:52.907,1.0,-103,1,2778
7131588,317053,27,2016-01-02 11:29:52.907,1.0,-103,1,405
7131662,258321,30,2016-01-02 11:34:19.467,1.0,-103,1,346
7131662,258459,30,2016-01-02 11:34:19.467,1.0,-103,1,601
7131671,356100,30,2016-01-02 11:36:28.350,1.0,-103,1,8254
7131671,427183,30,2016-01-02 11:36:28.350,1.0,-103,1,3414
7131687,258470,30,2016-01-02 11:41:17.667,1.0,-103,1,1834
7131687,416207,30,2016-01-02 11:41:17.667,1.0,-103,1,5656
7131687,463467,30,2016-01-02 11:41:17.667,1.0,-103,1,2629
7131639,406255,26,2016-01-02 11:43:20.077,1.0,-103,1,58
7131639,406432,26,2016-01-02 11:43:20.077,1.0,-103,1,8633
7131639,463462,26,2016-01-02 11:43:20.077,1.0,-103,1,2837
7131717,404229,30,2016-01-02 11:48:16.067,1.0,-103,1,1276
